PCB congener,log KOW,log KOC,log KDOC,Cair (ng/m3),VD (m/day),Kaw,Vaw(m/day)
1,4.46,4.38,2.67,0,0.43,0.0024,0.23
3,4.69,4.61,2.83,0,0.43,0.0018,0.21
(4+10),4.75,4.66,2.87,0,0.37,0.0025,0.21
(7+9),5.07,4.98,3.1,0.0008,0.37,0.0032,0.22
6,5.06,4.97,3.09,0.00011,0.37,0.0029,0.22
(8+5),5.02,4.93,3.06,0.00107,0.37,0.0023,0.2
19,5.02,4.93,3.06,0.00029,0.35,0.0026,0.2
(12+13),5.26,5.17,3.23,0.00065,0.37,0.0019,0.19
18,5.24,5.15,3.22,0,0.35,0.0027,0.21
(15+17),5.28,5.19,3.25,0.00411,0.35,0.0023,0.2
(24+27),5.4,5.3,3.33,0.00041,0.35,0.0034,0.22
(16+32),5.3,5.21,3.26,0.00129,0.35,0.0024,0.2
26,5.66,5.56,3.52,0.00497,0.35,0.0039,0.22
25,5.67,5.57,3.53,0.00035,0.35,0.0035,0.22
31,5.67,5.57,3.53,0.00221,0.35,0.0035,0.22
28,5.67,5.57,3.53,0.00074,0.35,0.0032,0.21
(21+33+53),5.58,5.48,3.46,0.00039,0.35,0.0026,0.2
51,5.63,5.53,3.5,0.00027,0.32,0.0032,0.2
22,5.58,5.49,3.46,0.00118,0.35,0.0022,0.19
45,5.53,5.44,3.43,0.00149,0.32,0.0029,0.2
46,5.53,5.44,3.43,0.00025,0.32,0.0022,0.18
(52+43),5.8,5.7,3.61,0.0029,0.32,0.0032,0.2
49,5.85,5.75,3.65,0.00025,0.32,0.0034,0.21
47,5.85,5.75,3.65,0.00042,0.32,0.0031,0.2
48,5.78,5.68,3.6,0.00272,0.32,0.0027,0.2
44,5.75,5.65,3.58,0.00153,0.32,0.0023,0.19
37,5.83,5.73,3.64,0.00369,0.35,0.002,0.19
42,5.76,5.66,3.59,0.00084,0.32,0.0021,0.18
(41+71),5.84,5.74,3.64,0.00033,0.32,0.0023,0.19
64,5.95,5.85,3.72,0.00097,0.32,0.0037,0.21
40,5.66,5.56,3.52,0.00037,0.32,0.0027,0.19
100,6.23,6.12,3.92,0.00364,0.29,0.005,0.21
63,6.17,6.07,3.88,0.00031,0.32,0.0035,0.21
74,6.2,6.09,3.9,0.00211,0.32,0.0035,0.21
(70+76),6.17,6.06,3.88,0.00194,0.32,0.0029,0.2
(66+95),6.17,6.06,3.88,0.00684,0.32,0.0035,0.21
91,6.13,6.03,3.85,0.00317,0.29,0.0036,0.2
(56+60),6.11,6.01,3.84,0.00109,0.32,0.0021,0.18
